0,1,2,3
Brian Daniels,Expansion,20.238094329833984,936741.5366210938
Brian Daniels,Renewal,17.105262756347656,753376.37109375
Brian Daniels,New Business,15.492958068847656,532538.7768554688
Brian Daniels,Cross-sell,13.483145713806152,633290.3291015625
Brian Daniels,Upsell,13.333333015441895,591830.8984375
Bruce Freeman,Expansion,19.736841201782227,936164.5
Bruce Freeman,Upsell,16.0,494502.125
Bruce Freeman,Cross-sell,15.789473533630371,688104.2866210938
Bruce Freeman,New Business,13.75,601148.349609375
Bruce Freeman,Renewal,10.227272987365723,404588.30078125
Carl Williams,Expansion,23.157894134521484,1096266.1103515625
Carl Williams,Cross-sell,22.5,777394.322265625
Carl Williams,New Business,20.731706619262695,1049534.6401367188
Carl Williams,Upsell,19.277109146118164,844785.775390625
Carl Williams,Renewal,17.647058486938477,695885.1982421875
Chase Scott,Renewal,21.34831428527832,995528.744140625
Chase Scott,Cross-sell,16.45569610595703,695715.2758789062
Chase Scott,Upsell,16.25,595509.2834472656
Chase Scott,New Business,12.5,501530.13134765625
Chase Scott,Expansion,11.428571701049805,318720.72705078125
Christopher Anderson,Expansion,23.943662643432617,702057.7258300781
Christopher Anderson,Cross-sell,23.188405990600586,841394.5737304688
Christopher Anderson,Upsell,22.22222137451172,869260.529296875
Christopher Anderson,Renewal,16.09195327758789,553815.0869140625
Christopher Anderson,New Business,15.492958068847656,552448.3154296875
Christopher Johnson,New Business,22.5,793783.3740234375
Christopher Johnson,Renewal,17.647058486938477,978560.9838867188
Christopher Johnson,Expansion,16.25,725734.9848632812
Christopher Johnson,Cross-sell,15.584415435791016,687375.4527587891
Christopher Johnson,Upsell,13.684210777282715,823159.96484375
Dave Bennett,Expansion,22.0930233001709,1018192.6583251953
Dave Bennett,Cross-sell,19.480520248413086,806892.6064453125
Dave Bennett,Upsell,16.0,607445.9112548828
Dave Bennett,Renewal,11.904762268066406,533109.666015625
Dave Bennett,New Business,10.465116500854492,343357.6103515625
David Liu,New Business,23.711339950561523,1339449.4125976562
David Liu,Upsell,17.105262756347656,765333.634765625
David Liu,Renewal,16.438356399536133,684547.1708984375
David Liu,Expansion,15.584415435791016,707599.529296875
David Liu,Cross-sell,12.359550476074219,709175.6484375
David Lopez,Expansion,17.283950805664062,758675.26953125
David Lopez,Upsell,17.283950805664062,683935.3994140625
David Lopez,Renewal,16.30434799194336,1046144.724609375
David Lopez,Cross-sell,15.789473533630371,456273.3583984375
David Lopez,New Business,12.98701286315918,570706.6701660156
Dennis Schwartz,Cross-sell,22.077922821044922,764725.6962890625
Dennis Schwartz,Upsell,20.987653732299805,851401.900390625
Dennis Schwartz,New Business,18.309858322143555,634955.69140625
Dennis Schwartz,Expansion,15.909090995788574,752380.8803710938
Dennis Schwartz,Renewal,6.666666507720947,246017.884765625
Diamond Randall,New Business,19.60784339904785,889224.0551757812
Diamond Randall,Upsell,18.91891860961914,1129175.8876953125
Diamond Randall,Cross-sell,17.94871711730957,710394.3937988281
Diamond Randall,Renewal,16.25,463211.33239746094
Diamond Randall,Expansion,16.0,609704.791015625
Donald Nixon,Cross-sell,21.25,799357.9794921875
Donald Nixon,Upsell,16.279069900512695,722756.734375
Donald Nixon,New Business,15.909090995788574,680506.7423095703
Donald Nixon,Renewal,13.043478012084961,446771.7177734375
Donald Nixon,Expansion,12.941176414489746,484796.27587890625
Dr. Rick Castro,New Business,20.987653732299805,1068926.349609375
Dr. Rick Castro,Expansion,18.987340927124023,745686.6362304688
Dr. Rick Castro,Upsell,18.604650497436523,956454.2197265625
Dr. Rick Castro,Renewal,18.05555534362793,506493.8928222656
Dr. Rick Castro,Cross-sell,16.47058868408203,780576.2067871094
Emily Diaz,Upsell,19.512195587158203,647027.3022460938
Emily Diaz,Cross-sell,19.178081512451172,587874.7432861328
Emily Diaz,Expansion,16.66666603088379,725582.6259765625
Emily Diaz,New Business,15.0,587360.919921875
Emily Diaz,Renewal,10.810811042785645,519208.015625
Emma Burns,Renewal,18.18181800842285,649489.86328125
Emma Burns,New Business,17.5,703812.4038085938
Emma Burns,Expansion,14.86486530303955,524607.380859375
Emma Burns,Upsell,13.924050331115723,518064.8408203125
Emma Burns,Cross-sell,12.631579399108887,558921.41796875
Felicia Taylor,Renewal,23.076923370361328,774078.025390625
Felicia Taylor,Upsell,17.647058486938477,656008.908203125
Felicia Taylor,Cross-sell,15.384614944458008,398817.5124511719
Felicia Taylor,New Business,14.70588207244873,383169.93017578125
Felicia Taylor,Expansion,8.75,479398.564453125
Francisco Floyd,Cross-sell,18.18181800842285,625596.7628173828
Francisco Floyd,Renewal,17.647058486938477,829485.4189453125
Francisco Floyd,New Business,17.567567825317383,740388.5068359375
Francisco Floyd,Upsell,15.068492889404297,742777.4716796875
Francisco Floyd,Expansion,12.048192977905273,601332.5
James Martinez,Cross-sell,16.853933334350586,1003818.7421875
James Martinez,Renewal,16.25,618284.0629882812
James Martinez,Upsell,11.11111068725586,672094.34375
James Martinez,Expansion,10.227272987365723,415712.625
James Martinez,New Business,6.94444465637207,314464.181640625
James Ortiz,Upsell,22.22222137451172,811764.2431640625
James Ortiz,Renewal,18.571428298950195,541735.7211914062
James Ortiz,New Business,18.309858322143555,571197.26171875
James Ortiz,Expansion,15.584415435791016,682713.44140625
James Ortiz,Cross-sell,12.631579399108887,558175.51171875
Jennifer Jones,Renewal,20.731706619262695,866028.1904296875
Jennifer Jones,Expansion,19.71830940246582,670348.4914550781
Jennifer Jones,Upsell,13.698630332946777,445317.6181640625
Jennifer Jones,New Business,9.523809432983398,408971.806640625
Jennifer Jones,Cross-sell,9.333333015441895,231327.40991210938
Jennifer Thompson,New Business,23.809524536132812,1218274.962890625
Jennifer Thompson,Renewal,18.604650497436523,833298.943359375
Jennifer Thompson,Expansion,18.18181800842285,857766.8403320312
Jennifer Thompson,Cross-sell,17.77777862548828,774858.8372802734
Jennifer Thompson,Upsell,10.98901081085205,623857.591796875
Jessica Johnson,Cross-sell,22.22222137451172,1033615.5537109375
Jessica Johnson,Expansion,17.894737243652344,818492.3907470703
Jessica Johnson,New Business,13.636363983154297,552818.71875
Jessica Johnson,Upsell,12.676055908203125,403417.91015625
Jessica Johnson,Renewal,12.087912559509277,542744.9306640625
Joann Dyer,Cross-sell,22.580644607543945,1039915.6032714844
Joann Dyer,Renewal,21.428571701049805,573611.3041992188
Joann Dyer,Expansion,16.0,788849.0859375
Joann Dyer,New Business,15.116278648376465,676864.4838867188
Joann Dyer,Upsell,10.714285850524902,558600.25390625
John Simmons,Renewal,30.66666603088379,1185908.7885742188
John Simmons,New Business,22.388059616088867,713585.0318603516
John Simmons,Upsell,21.11111068725586,959954.7677001953
John Simmons,Cross-sell,17.0,899364.9018554688
John Simmons,Expansion,15.189873695373535,586079.7576904297
Jordan Simpson,Upsell,20.0,862238.8681640625
Jordan Simpson,Renewal,19.387754440307617,848534.0517578125
Jordan Simpson,Cross-sell,16.88311767578125,742900.828125
Jordan Simpson,Expansion,14.925373077392578,647323.25
Jordan Simpson,New Business,12.643677711486816,553345.3251953125
Jordan Taylor,Cross-sell,21.276596069335938,829538.357421875
Jordan Taylor,Expansion,19.75308609008789,828950.859375
Jordan Taylor,New Business,18.947368621826172,1002968.66015625
Jordan Taylor,Renewal,14.634146690368652,647638.7529296875
Jordan Taylor,Upsell,13.75,596945.2568359375
Jose Allen,Expansion,24.096385955810547,911886.4423828125
Jose Allen,Upsell,18.69158935546875,931608.0200195312
Jose Allen,New Business,16.04938316345215,763528.3930664062
Jose Allen,Renewal,15.151515007019043,697240.0759277344
Jose Allen,Cross-sell,12.820512771606445,570266.2646484375
Joseph Lee,New Business,21.917808532714844,820476.642578125
Joseph Lee,Cross-sell,20.512821197509766,690687.4946289062
Joseph Lee,Renewal,13.636363983154297,375668.06201171875
Joseph Lee,Upsell,13.432835578918457,263679.9794921875
Joseph Lee,Expansion,12.328766822814941,624966.2734375
Karen Cunningham,New Business,23.809524536132812,713563.3081054688
Karen Cunningham,Renewal,18.390804290771484,727875.3188476562
Karen Cunningham,Cross-sell,18.18181800842285,504273.47802734375
Karen Cunningham,Expansion,10.98901081085205,549916.6000976562
Karen Cunningham,Upsell,10.84337329864502,452940.2353515625
Kimberly Glover,Expansion,16.66666603088379,583507.9130859375
Kimberly Glover,Cross-sell,16.438356399536133,564004.2099609375
Kimberly Glover,Upsell,16.129032135009766,809578.9516601562
Kimberly Glover,Renewal,15.942028999328613,512344.87109375
Kimberly Glover,New Business,13.84615421295166,445930.06884765625
Kristin Rodriguez,Expansion,21.428571701049805,1166489.388671875
Kristin Rodriguez,Renewal,17.283950805664062,758936.7602539062
Kristin Rodriguez,New Business,11.267605781555176,492336.69921875
Kristin Rodriguez,Upsell,11.25,564579.95703125
Kristin Rodriguez,Cross-sell,10.144927978515625,319125.4990234375
Laura Austin,Renewal,19.277109146118164,970370.396484375
Laura Austin,Upsell,16.04938316345215,643334.7338867188
Laura Austin,New Business,15.189873695373535,601986.7470703125
Laura Austin,Expansion,13.636363983154297,486993.8974609375
Laura Austin,Cross-sell,10.144927978515625,354789.40625
Linda Willis,Upsell,22.0930233001709,1188296.7255859375
Linda Willis,Renewal,17.567567825317383,520214.67919921875
Linda Willis,Expansion,13.924050331115723,489928.763671875
Linda Willis,New Business,13.698630332946777,677873.20703125
Linda Willis,Cross-sell,7.792207717895508,309463.1650390625
Lindsay Kelly MD,Renewal,19.54022979736328,941756.361328125
Lindsay Kelly MD,Upsell,17.721519470214844,614875.5517578125
Lindsay Kelly MD,Cross-sell,16.853933334350586,902764.5400390625
Lindsay Kelly MD,Expansion,14.285714149475098,416856.52490234375
Lindsay Kelly MD,New Business,10.97560977935791,427719.0915527344
Lori Cantu,Expansion,20.0,938010.57421875
Lori Cantu,Cross-sell,16.09195327758789,847431.4162597656
Lori Cantu,New Business,14.473684310913086,599181.42578125
Lori Cantu,Upsell,14.1304349899292,461029.076171875
Lori Cantu,Renewal,12.121212005615234,478156.3818359375
Mark Johnson,Cross-sell,24.489795684814453,1278680.84375
Mark Johnson,Upsell,23.75,1011584.4311523438
Mark Johnson,New Business,19.696969985961914,782173.06640625
Mark Johnson,Renewal,16.176469802856445,505448.1979980469
Mark Johnson,Expansion,13.95348834991455,562297.8935546875
Mark Thomas,New Business,19.44444465637207,574981.5673828125
Mark Thomas,Upsell,18.518518447875977,862814.65625
Mark Thomas,Renewal,15.584415435791016,471604.783203125
Mark Thomas,Cross-sell,14.492753982543945,390698.4111328125
Mark Thomas,Expansion,13.95348834991455,760736.6717529297
Megan Murray,New Business,21.212121963500977,768426.7548828125
Megan Murray,Expansion,19.44444465637207,714752.2143554688
Megan Murray,Renewal,18.823530197143555,681373.212890625
Megan Murray,Upsell,13.043478012084961,637316.4755859375
Megan Murray,Cross-sell,11.363636016845703,346506.2841796875
Monica Williams,Cross-sell,22.727272033691406,735995.8315429688
Monica Williams,Expansion,19.512195587158203,920214.509765625
Monica Williams,Renewal,16.853933334350586,926883.61328125
Monica Williams,Upsell,13.580246925354004,535717.9560546875
Monica Williams,New Business,9.411765098571777,406587.7900390625
Mrs. Debbie Ramirez,New Business,22.352941513061523,808932.1064453125
Mrs. Debbie Ramirez,Expansion,18.292682647705078,825766.07421875
Mrs. Debbie Ramirez,Cross-sell,16.279069900512695,664837.0473632812
Mrs. Debbie Ramirez,Renewal,15.789473533630371,452683.669921875
Mrs. Debbie Ramirez,Upsell,14.772727012634277,702069.1889648438
Nathan Cummings,New Business,17.85714340209961,716146.0712890625
Nathan Cummings,Cross-sell,16.867469787597656,781061.0302734375
Nathan Cummings,Expansion,16.25,495780.25927734375
Nathan Cummings,Upsell,15.151515007019043,725508.7938232422
Nathan Cummings,Renewal,13.186813354492188,482022.3974609375
Nicholas Morrow,Cross-sell,20.4819278717041,879049.4254150391
Nicholas Morrow,Renewal,18.518518447875977,665773.939453125
Nicholas Morrow,Expansion,16.279069900512695,791585.47265625
Nicholas Morrow,Upsell,15.853658676147461,498795.7668457031
Nicholas Morrow,New Business,14.08450698852539,529371.060546875
Patricia Kelly,Cross-sell,19.230770111083984,960578.4375
Patricia Kelly,Upsell,17.85714340209961,804558.3815917969
Patricia Kelly,Expansion,15.584415435791016,759225.7309570312
Patricia Kelly,New Business,15.116278648376465,809563.0439453125
Patricia Kelly,Renewal,14.473684310913086,632751.802734375
Robert Hammond,Cross-sell,22.105262756347656,910416.7685546875
Robert Hammond,Renewal,17.85714340209961,831900.119140625
Robert Hammond,Upsell,16.45569610595703,518777.22119140625
Robert Hammond,New Business,14.925373077392578,515606.52001953125
Robert Hammond,Expansion,14.925373077392578,422970.70654296875
Sabrina Phillips,Upsell,22.36842155456543,1075971.9072265625
Sabrina Phillips,Renewal,17.33333396911621,571255.1704101562
Sabrina Phillips,Cross-sell,15.384614944458008,568313.1684570312
Sabrina Phillips,New Business,15.189873695373535,423439.0256347656
Sabrina Phillips,Expansion,14.457831382751465,612312.0908203125
Scott Collins,Cross-sell,22.22222137451172,769429.39453125
Scott Collins,Upsell,15.789473533630371,1017887.48046875
Scott Collins,Expansion,14.814814567565918,434359.3889160156
Scott Collins,Renewal,14.606741905212402,593035.5612792969
Scott Collins,New Business,13.541666984558105,632595.341796875
Sharon Bennett,Renewal,22.891565322875977,1064420.0576171875
Sharon Bennett,Cross-sell,19.736841201782227,957363.341796875
Sharon Bennett,New Business,18.279569625854492,769325.0688476562
Sharon Bennett,Upsell,16.438356399536133,521789.6435546875
Sharon Bennett,Expansion,14.473684310913086,628929.603515625
Tammy Rodriguez,Expansion,25.33333396911621,998984.9565429688
Tammy Rodriguez,Cross-sell,17.105262756347656,558294.4111328125
Tammy Rodriguez,New Business,15.55555534362793,727645.3891601562
Tammy Rodriguez,Renewal,14.285714149475098,665382.779296875
Tammy Rodriguez,Upsell,10.126582145690918,559623.08984375
Tiffany Lawrence,Cross-sell,20.779220581054688,770990.546875
Tiffany Lawrence,Expansion,19.31818199157715,704655.9965820312
Tiffany Lawrence,Renewal,18.66666603088379,879805.4799804688
Tiffany Lawrence,New Business,16.09195327758789,863058.3862304688
Tiffany Lawrence,Upsell,8.219178199768066,332689.0859375
Tony Franklin,New Business,20.454545974731445,944461.875
Tony Franklin,Renewal,19.277109146118164,714762.9072265625
Tony Franklin,Expansion,17.5,872768.58203125
Tony Franklin,Cross-sell,15.714285850524902,650873.8291015625
Tony Franklin,Upsell,13.75,634231.154296875
Veronica Huff,New Business,17.105262756347656,842657.7241210938
Veronica Huff,Expansion,15.662651062011719,685355.9267578125
Veronica Huff,Cross-sell,14.285714149475098,490301.8137207031
Veronica Huff,Upsell,11.363636016845703,474636.57763671875
Veronica Huff,Renewal,3.846153736114502,112747.732421875
Victoria Orozco,Upsell,22.058822631835938,890970.2802734375
Victoria Orozco,Renewal,15.584415435791016,662238.5634765625
Victoria Orozco,Cross-sell,14.634146690368652,734591.4765625
Victoria Orozco,New Business,12.359550476074219,584283.9775390625
Victoria Orozco,Expansion,12.195121765136719,479186.69140625
Zachary Waters,Renewal,24.285715103149414,928646.1879882812
Zachary Waters,Expansion,23.188405990600586,711052.001953125
Zachary Waters,New Business,21.34831428527832,995993.927734375
Zachary Waters,Upsell,17.77777862548828,997459.9704589844
Zachary Waters,Cross-sell,17.460317611694336,636770.61328125
